840934,540934,,,,,,,,
776752,476752,538966.984,AV,,,,,,
768729,468729,120487.5696,SD,,,,,,
839840,539840,,,,,,,,
798997,498997,,,,,,,,
797903,497903,,,,,,,,
775657,475657,,,,,,,,
770188,470188,,,,,,,,
776752,476752,,,,,,,,
1051714,751714,,,,,,,,
766905,466905,,,,,,,,
774199,474199,,,,,,,,
768364,468364,,,,,,,,
776752,476752,,,,,,,,
767635,467635,,,,,,,,
892718,592718,,,,,,,,
767635,467635,,,,,,,,
775293,475293,,,,,,,,
899282,599282,,,,,,,,
902563,602563,,,,,,,,
778211,478211,,,,,,,,
846404,546404,,,,,,,,
769458,469458,,,,,,,,
774928,474928,,,,,,,,
780763,480763,,,,,,,,
769458,469458,,,,,,,,
776387,476387,,,,,,,,
797538,497538,,,,,,,,
776023,476023,,,,,,,,
809208,509208,,,,,,,,
817230,517230,,,,,,,,
859167,559167,,,,,,,,
778211,478211,,,,,,,,
774929,474929,,,,,,,,
777481,477481,,,,,,,,
822701,522701,,,,,,,,
1117356,817356,,,,,,,,
806655,506655,,,,,,,,
906575,606575,,,,,,,,
769459,469459,,,,,,,,
775293,475293,,,,,,,,
807019,507019,,,,,,,,
776387,476387,,,,,,,,
766906,466906,,,,,,,,
808843,508843,,,,,,,,
768364,468364,,,,,,,,
776387,476387,,,,,,,,
833641,533641,,,,,,,,
777846,477846,,,,,,,,
774199,474199,,,,,,,,
1081982,781982,,,,,,,,
761800,461800,,,,,,,,
825982,525982,,,,,,,,
860626,560626,,,,,,,,
771646,471646,,,,,,,,
912046,612046,,,,,,,,
818689,518689,,,,,,,,
896000,596000,,,,,,,,
843487,543487,,,,,,,,
835828,535828,,,,,,,,
811030,511030,,,,,,,,
971122,671122,,,,,,,,
1025093,725093,,,,,,,,
875578,575578,,,,,,,,
1035669,735669,,,,,,,,
838016,538016,,,,,,,,
823065,523065,,,,,,,,
793527,493527,,,,,,,,
841664,541664,,,,,,,,
809573,509573,,,,,,,,
777116,477116,,,,,,,,
769094,469094,,,,,,,,
846769,546769,,,,,,,,
857344,557344,,,,,,,,
1309538,1009538,,,,,,,,
768000,468000,,,,,,,,
892718,592718,,,,,,,,
769459,469459,,,,,,,,
966746,666746,,,,,,,,
846039,546039,,,,,,,,
807384,507384,,,,,,,,
829265,529265,,,,,,,,
887612,587612,,,,,,,,
844946,544946,,,,,,,,
769458,469458,,,,,,,,
833640,533640,,,,,,,,
753778,453778,,,,,,,,
748307,448307,,,,,,,,
1177526,877526,,,,,,,,
760706,460706,,,,,,,,
1165492,865492,,,,,,,,
1164399,864399,,,,,,,,
823065,523065,,,,,,,,
769823,469823,,,,,,,,
1044786,744786,,,,,,,,
857709,557709,,,,,,,,
963828,663828,,,,,,,,
991544,691544,,,,,,,,
1126472,826472,,,,,,,,
1032387,732387,,,,,,,,
973674,673674,,,,,,,,
1262495,962495,,,,,,,,
892353,592353,,,,,,,,
1094381,794381,,,,,,,,
837652,537652,,,,,,,,
946689,646689,,,,,,,,
768729,468729,,,,,,,,
1012330,712330,,,,,,,,
890894,590894,,,,,,,,
1104228,804228,,,,,,,,
1038221,738221,,,,,,,,
896000,596000,,,,,,,,
1075053,775053,,,,,,,,
979509,679509,,,,,,,,
931008,631008,,,,,,,,
961276,661276,,,,,,,,
981698,681698,,,,,,,,
1048797,748797,,,,,,,,
844946,544946,,,,,,,,
773834,473834,,,,,,,,
1135224,835224,,,,,,,,
851874,551874,,,,,,,,
1096569,796569,,,,,,,,
794621,494621,,,,,,,,
1112250,812250,,,,,,,,
1026553,726553,,,,,,,,
1169504,869504,,,,,,,,
1159293,859293,,,,,,,,
1164398,864398,,,,,,,,
1162939,862939,,,,,,,,
1051350,751350,,,,,,,,
1073231,773231,,,,,,,,
893811,593811,,,,,,,,
815042,515042,,,,,,,,
814678,514678,,,,,,,,
913869,613869,,,,,,,,
813584,513584,,,,,,,,
843487,543487,,,,,,,,
1067396,767396,,,,,,,,
768364,468364,,,,,,,,
880684,580684,,,,,,,,
768729,468729,,,,,,,,
768000,468000,,,,,,,,
828900,528900,,,,,,,,
766905,466905,,,,,,,,
766541,466541,,,,,,,,
769094,469094,,,,,,,,
769459,469459,,,,,,,,
766905,466905,,,,,,,,
768364,468364,,,,,,,,
768364,468364,,,,,,,,
801915,501915,,,,,,,,
1106780,806780,,,,,,,,
768000,468000,,,,,,,,
768729,468729,,,,,,,,
768000,468000,,,,,,,,
785139,485139,,,,,,,,
766541,466541,,,,,,,,
768000,468000,,,,,,,,
767270,467270,,,,,,,,
767270,467270,,,,,,,,
787327,487327,,,,,,,,
766541,466541,,,,,,,,
812855,512855,,,,,,,,
824888,524888,,,,,,,,
790610,490610,,,,,,,,
875942,575942,,,,,,,,
791338,491338,,,,,,,,
785504,485504,,,,,,,,
767635,467635,,,,,,,,
878495,578495,,,,,,,,
766905,466905,,,,,,,,
766906,466906,,,,,,,,
815771,515771,,,,,,,,
768364,468364,,,,,,,,
766906,466906,,,,,,,,
797902,497902,,,,,,,,
790609,490609,,,,,,,,
767271,467271,,,,,,,,
766541,466541,,,,,,,,
1193572,893572,,,,,,,,
769094,469094,,,,,,,,
904751,604751,,,,,,,,
767635,467635,,,,,,,,
767270,467270,,,,,,,,
766905,466905,,,,,,,,
766906,466906,,,,,,,,
1072501,772501,,,,,,,,
841664,541664,,,,,,,,
769823,469823,,,,,,,,
764718,464718,,,,,,,,
765447,465447,,,,,,,,
954347,654347,,,,,,,,
786597,486597,,,,,,,,
948512,648512,,,,,,,,
992273,692273,,,,,,,,
767635,467635,,,,,,,,
767271,467271,,,,,,,,
881777,581777,,,,,,,,
768000,468000,,,,,,,,
821606,521606,,,,,,,,
768000,468000,,,,,,,,
768729,468729,,,,,,,,
767270,467270,,,,,,,,
767271,467271,,,,,,,,
773834,473834,,,,,,,,
815407,515407,,,,,,,,
789515,489515,,,,,,,,
867190,567190,,,,,,,,
768365,468365,,,,,,,,
768000,468000,,,,,,,,
769093,469093,,,,,,,,
794985,494985,,,,,,,,
767270,467270,,,,,,,,
767270,467270,,,,,,,,
767270,467270,,,,,,,,
897094,597094,,,,,,,,
764717,464717,,,,,,,,
766906,466906,,,,,,,,
790974,490974,,,,,,,,
767635,467635,,,,,,,,
805561,505561,,,,,,,,
838746,538746,,,,,,,,
768364,468364,,,,,,,,
802643,502643,,,,,,,,
767999,467999,,,,,,,,
766541,466541,,,,,,,,
881048,581048,,,,,,,,
766906,466906,,,,,,,,
767270,467270,,,,,,,,
766176,466176,,,,,,,,
769094,469094,,,,,,,,
766906,466906,,,,,,,,
833641,533641,,,,,,,,
769823,469823,,,,,,,,
766177,466177,,,,,,,,
857709,557709,,,,,,,,
768365,468365,,,,,,,,
767635,467635,,,,,,,,
766176,466176,,,,,,,,
862814,562814,,,,,,,,
792798,492798,,,,,,,,
765811,465811,,,,,,,,
1098028,798028,,,,,,,,
849321,549321,,,,,,,,
766541,466541,,,,,,,,
793527,493527,,,,,,,,
768364,468364,,,,,,,,
766541,466541,,,,,,,,
769823,469823,,,,,,,,
823065,523065,,,,,,,,
769093,469093,,,,,,,,
768728,468728,,,,,,,,
797174,497174,,,,,,,,
768364,468364,,,,,,,,
842757,542757,,,,,,,,
768729,468729,,,,,,,,
747213,447213,,,,,,,,
745754,445754,,,,,,,,
846404,546404,,,,,,,,
746119,446119,,,,,,,,
768729,468729,,,,,,,,
767271,467271,,,,,,,,
769094,469094,,,,,,,,
768729,468729,,,,,,,,
768364,468364,,,,,,,,
770187,470187,,,,,,,,
783316,483316,,,,,,,,
746484,446484,,,,,,,,
1056091,756091,,,,,,,,
745754,445754,,,,,,,,
744660,444660,,,,,,,,
810302,510302,,,,,,,,
745390,445390,,,,,,,,
744296,444296,,,,,,,,
833641,533641,,,,,,,,
838381,538381,,,,,,,,
816501,516501,,,,,,,,
769458,469458,,,,,,,,
767634,467634,,,,,,,,
767270,467270,,,,,,,,
1052079,752079,,,,,,,,
768364,468364,,,,,,,,
768000,468000,,,,,,,,
770187,470187,,,,,,,,
767635,467635,,,,,,,,
770917,470917,,,,,,,,
803738,503738,,,,,,,,
746849,446849,,,,,,,,
899646,599646,,,,,,,,
792068,492068,,,,,,,,
768364,468364,,,,,,,,
809937,509937,,,,,,,,
809572,509572,,,,,,,,
769094,469094,,,,,,,,
818689,518689,,,,,,,,
768000,468000,,,,,,,,
768364,468364,,,,,,,,
1041868,741868,,,,,,,,
766906,466906,,,,,,,,
769094,469094,,,,,,,,
954347,654347,,,,,,,,
767635,467635,,,,,,,,
769458,469458,,,,,,,,
768729,468729,,,,,,,,
768729,468729,,,,,,,,
790974,490974,,,,,,,,
768728,468728,,,,,,,,
768729,468729,,,,,,,,
768729,468729,,,,,,,,
767270,467270,,,,,,,,
768365,468365,,,,,,,,
796079,496079,,,,,,,,
770187,470187,,,,,,,,
767999,467999,,,,,,,,
767270,467270,,,,,,,,
826711,526711,,,,,,,,
769458,469458,,,,,,,,
768364,468364,,,,,,,,
769459,469459,,,,,,,,
769823,469823,,,,,,,,
769093,469093,,,,,,,,
766541,466541,,,,,,,,
769094,469094,,,,,,,,
768000,468000,,,,,,,,
768364,468364,,,,,,,,
745754,445754,,,,,,,,
768000,468000,,,,,,,,
766906,466906,,,,,,,,
1501355,1201355,,,,,,,,
777481,477481,,,,,,,,
852604,552604,,,,,,,,
746120,446120,,,,,,,,
745025,445025,,,,,,,,
768729,468729,,,,,,,,
768729,468729,,,,,,,,
766176,466176,,,,,,,,
789516,489516,,,,,,,,
769458,469458,,,,,,,,
778939,478939,,,,,,,,
786962,486962,,,,,,,,
817960,517960,,,,,,,,
767270,467270,,,,,,,,
857344,557344,,,,,,,,
769094,469094,,,,,,,,
767270,467270,,,,,,,,
767635,467635,,,,,,,,
807748,507748,,,,,,,,
791703,491703,,,,,,,,
768728,468728,,,,,,,,
768365,468365,,,,,,,,
832911,532911,,,,,,,,
768364,468364,,,,,,,,
769094,469094,,,,,,,,
768000,468000,,,,,,,,
769458,469458,,,,,,,,
768365,468365,,,,,,,,
769458,469458,,,,,,,,
792798,492798,,,,,,,,
770552,470552,,,,,,,,
768000,468000,,,,,,,,
767999,467999,,,,,,,,
910951,610951,,,,,,,,
769823,469823,,,,,,,,
768364,468364,,,,,,,,
745025,445025,,,,,,,,
798996,498996,,,,,,,,
1013789,713789,,,,,,,,
746848,446848,,,,,,,,
746119,446119,,,,,,,,
1284740,984740,,,,,,,,
767270,467270,,,,,,,,
951430,651430,,,,,,,,
746120,446120,,,,,,,,
746484,446484,,,,,,,,
981697,681697,,,,,,,,
1225298,925298,,,,,,,,
769458,469458,,,,,,,,
767635,467635,,,,,,,,
747214,447214,,,,,,,,
765812,465812,,,,,,,,
772011,472011,,,,,,,,
747578,447578,,,,,,,,
746849,446849,,,,,,,,
747578,447578,,,,,,,,
745755,445755,,,,,,,,
955805,655805,,,,,,,,
746849,446849,,,,,,,,
747943,447943,,,,,,,,
746849,446849,,,,,,,,
1045515,745515,,,,,,,,
745390,445390,,,,,,,,
746484,446484,,,,,,,,
802644,502644,,,,,,,,
768364,468364,,,,,,,,
767270,467270,,,,,,,,
768364,468364,,,,,,,,
1087453,787453,,,,,,,,
769093,469093,,,,,,,,
746484,446484,,,,,,,,
798268,498268,,,,,,,,
894177,594177,,,,,,,,
770917,470917,,,,,,,,
1175703,875703,,,,,,,,
1193207,893207,,,,,,,,
874119,574119,,,,,,,,
844945,544945,,,,,,,,
1176067,876067,,,,,,,,
858439,558439,,,,,,,,
1168410,868410,,,,,,,,
1179714,879714,,,,,,,,
1028011,728011,,,,,,,,
834734,534734,,,,,,,,
795714,495714,,,,,,,,
929185,629185,,,,,,,,
766176,466176,,,,,,,,
904387,604387,,,,,,,,
1148352,848352,,,,,,,,
920798,620798,,,,,,,,
1001754,701754,,,,,,,,
747943,447943,,,,,,,,
917879,617879,,,,,,,,
1086723,786723,,,,,,,,
1148717,848717,,,,,,,,
969298,669298,,,,,,,,
747943,447943,,,,,,,,
899281,599281,,,,,,,,
846769,546769,,,,,,,,
1191384,891384,,,,,,,,
1143612,843612,,,,,,,,
893811,593811,,,,,,,,
833641,533641,,,,,,,,
747578,447578,,,,,,,,
894906,594906,,,,,,,,
940125,640125,,,,,,,,
766176,466176,,,,,,,,
842757,542757,,,,,,,,
1067030,767030,,,,,,,,
845311,545311,,,,,,,,
897458,597458,,,,,,,,
844581,544581,,,,,,,,
748672,448672,,,,,,,,
905481,605481,,,,,,,,
1090735,790735,,,,,,,,
1108238,808238,,,,,,,,
1193207,893207,,,,,,,,
842758,542758,,,,,,,,
847499,547499,,,,,,,,
1066666,766666,,,,,,,,
982062,682062,,,,,,,,
936843,636843,,,,,,,,
766905,466905,,,,,,,,
746484,446484,,,,,,,,
769458,469458,,,,,,,,
746849,446849,,,,,,,,
768364,468364,,,,,,,,
768000,468000,,,,,,,,
746119,446119,,,,,,,,
747578,447578,,,,,,,,
1032751,732751,,,,,,,,
747578,447578,,,,,,,,
801184,501184,,,,,,,,
748672,448672,,,,,,,,
746849,446849,,,,,,,,
770188,470188,,,,,,,,
745755,445755,,,,,,,,
746120,446120,,,,,,,,
801915,501915,,,,,,,,
747213,447213,,,,,,,,
747943,447943,,,,,,,,
770188,470188,,,,,,,,
829994,529994,,,,,,,,
764718,464718,,,,,,,,
849686,549686,,,,,,,,
758154,458154,,,,,,,,
746119,446119,,,,,,,,
864638,564638,,,,,,,,
772376,472376,,,,,,,,
746849,446849,,,,,,,,
915692,615692,,,,,,,,
746849,446849,,,,,,,,
747213,447213,,,,,,,,
873390,573390,,,,,,,,
747578,447578,,,,,,,,
746849,446849,,,,,,,,
933196,633196,,,,,,,,
747943,447943,,,,,,,,
747942,447942,,,,,,,,
814677,514677,,,,,,,,
747213,447213,,,,,,,,
793526,493526,,,,,,,,
747213,447213,,,,,,,,
746119,446119,,,,,,,,
747578,447578,,,,,,,,
804466,504466,,,,,,,,
746849,446849,,,,,,,,
825982,525982,,,,,,,,
747942,447942,,,,,,,,
747942,447942,,,,,,,,
746484,446484,,,,,,,,
